Date,Close,Adj Close,Volume,Daily % Change,23 Day Vol (20 Trading Days in a 4 Week Period),Daily Drift,Monthly STD Cased on last Vol,Monthly Estimated Drift,Actual Drift,Difference,LT-STD Running,23 Day Momentum,Average Daily % Change,Momentum ROC,Momentum ROC Squared,Average ROC Momentum,
7/21/1993,44.8125,27.140688,142700,-0.000696864,0.006687525,-0.000340865,0.029907521,-0.006795275,-0.001270386,,0.006941124,-0.008298755,-0.007810576,-0.00413498,1.70981E-05,0.000112279,
7/22/1993,44.5,26.95145,632400,-0.006973501,0.006044244,1.7434E-05,0.027030679,0.000348738,0,,0.00694276,0,0.000401059,0.008298755,6.88693E-05,9.92394E-05,
7/23/1993,44.71875,27.08391,286200,0.00491573,0.006116328,0.000139564,0.027353052,0.002794983,0.00280274,,0.006927448,0.002803083,0.003214904,0.002803083,7.85728E-06,9.92308E-05,
7/26/1993,44.96875,27.235321,121300,0.005590496,0.00622081,0.000352161,0.02782031,0.007066827,0.007703112,,0.006916199,0.007703081,0.00813115,0.004899998,2.401E-05,8.34957E-05,
7/27/1993,44.9375,27.2164,92800,-0.000694927,0.005877448,0.000717757,0.026284745,0.014453446,0.016254304,,0.006888283,0.016254417,0.016639407,0.008551336,7.31253E-05,8.06828E-05,
7/28/1993,44.84375,27.159624,30800,-0.002086231,0.005204175,4.32443E-05,0.023273777,0.00086524,0.000697698,,0.006863313,0.00069735,0.000995091,-0.015557067,0.000242022,6.98589E-05,
7/29/1993,45.09375,27.311049,331000,0.005574913,0.005326503,0.000315951,0.023820845,0.00633803,0.006979304,,0.006852543,0.006978367,0.007292193,0.006281017,3.94512E-05,7.05415E-05,
7/30/1993,44.84375,27.159624,75300,-0.005544006,0.004902066,-0.000410544,0.021922705,-0.008178935,-0.00966173,,0.006844442,-0.009661836,-0.009399992,-0.016640203,0.000276896,7.90362E-05,
8/2/1993,44.96875,27.235321,41300,0.002787456,0.00484688,-7.93103E-05,0.021675909,-0.001585012,-0.002080602,,0.006821136,-0.002080444,-0.001822547,0.007581392,5.74775E-05,6.86673E-05,
8/3/1993,45,27.254253,81600,0.000694927,0.004849563,-4.90961E-05,0.021687903,-0.000981465,-0.001386921,,0.006794366,-0.001386963,-0.001128601,0.000693481,4.80916E-07,6.8186E-05,
8/4/1993,45,27.254253,434000,0,0.004813073,7.15093E-05,0.021524718,0.001431158,0.001390816,,0.006767799,0.001390821,0.001646009,0.002777783,7.71608E-06,6.83417E-05,
8/5/1993,44.90625,27.19747,36800,-0.002083333,0.004680767,0.000222811,0.020933027,0.004465674,0.004894847,,0.00674451,0.004895105,0.005137243,0.003504284,1.228E-05,5.90949E-05,
8/6/1993,44.96875,27.235321,402300,0.001391788,0.004059141,0.00073939,0.018153032,0.014892128,0.01696081,,0.00671934,0.016961131,0.017144995,0.012066026,0.000145589,6.19504E-05,
8/9/1993,45.21875,27.386745,828200,0.005559416,0.00416171,0.000858197,0.018611734,0.017304592,0.019732095,,0.006709882,0.019732206,0.019925983,0.002771075,7.67886E-06,6.06738E-05,
8/10/1993,45.1875,27.367802,604900,-0.000691085,0.003494732,0.000337908,0.015628916,0.006779906,0.007664981,,0.006684905,0.007665505,0.007800849,-0.012066701,0.000145605,5.79767E-05,
8/11/1993,45.1875,27.367802,542200,0,0.003454019,0.000216715,0.015446841,0.004343227,0.004864308,,0.006659757,0.004864489,0.004996336,-0.002801016,7.84569E-06,5.66469E-05,
8/12/1993,45.0625,27.292105,303700,-0.002766252,0.003505488,0.000126657,0.01567702,0.00253619,0.002781595,,0.006639875,0.002781641,0.002917173,-0.002082848,4.33826E-06,5.3801E-05,
8/13/1993,45.125,27.32995,103500,0.001386963,0.003510179,0.000217195,0.015697999,0.004352874,0.004871041,,0.006616008,0.00487126,0.005007437,0.002089618,4.36651E-06,5.32256E-05,
8/16/1993,45.375,27.481369,241800,0.005540166,0.003621758,0.00030679,0.016196993,0.006153724,0.006934753,,0.006607305,0.006934813,0.007080043,0.002063553,4.25825E-06,5.3074E-05,
8/17/1993,45.53125,27.576014,369300,0.003443526,0.003541582,0.000637417,0.015838434,0.012825835,0.014623881,,0.006588733,0.014623955,0.014763847,0.007689143,5.91229E-05,5.26273E-05,
8/18/1993,45.78125,27.727409,414300,0.005490734,0.00359799,0.000997254,0.016090701,0.020135174,0.023044261,,0.00657968,0.023044693,0.02319022,0.008420737,7.09088E-05,5.56257E-05,
8/19/1993,45.78125,27.727409,28500,0,0.003585958,0.001027616,0.016036891,0.0207542,0.023759457,,0.006556024,0.023759609,0.023904265,0.000714916,5.11105E-07,5.55654E-05,
8/20/1993,45.8125,27.746349,80700,0.000682594,0.003565622,0.000935761,0.015945946,0.018882539,0.02160284,,0.006532641,0.021602787,0.02174551,-0.002156821,4.65188E-06,5.57461E-05,
8/23/1993,45.71875,27.68955,15600,-0.002046385,0.0036046,0.000877087,0.01612026,0.017688667,0.020222848,,0.006512457,0.020223152,0.02036882,-0.001379635,1.90339E-06,5.50855E-05,
8/24/1993,46.21875,27.992378,273400,0.010936432,0.003762624,0.001655779,0.016826965,0.033641703,0.038622338,,0.006550146,0.038623596,0.038784657,0.018400443,0.000338576,6.68119E-05,
8/25/1993,46.25,28.011311,242300,0.000676133,0.00369897,0.001471449,0.016542297,0.029844015,0.034241769,,0.006527252,0.034241789,0.034396797,-0.004381807,1.92002E-05,6.7305E-05,
8/26/1993,46.28125,28.030224,120000,0.000675676,0.003590574,0.001257761,0.016057534,0.025458076,0.029186474,,0.006504595,0.029186935,0.029332289,-0.005054854,2.55515E-05,6.73721E-05,
8/27/1993,46.25,28.011311,25700,-0.000675219,0.003590089,0.001258618,0.016055366,0.025475628,0.029207059,,0.006482714,0.029207232,0.029352549,2.02969E-05,4.11964E-10,6.41927E-05,
8/30/1993,46.4375,28.124884,183500,0.004054054,0.003558213,0.001525587,0.015912814,0.030958021,0.035540256,,0.006467608,0.03554007,0.035683671,0.006332837,4.01048E-05,5.54137E-05,
8/31/1993,46.5625,28.200592,66500,0.00269179,0.003458461,0.001400234,0.015466709,0.028380347,0.03257081,,0.006448331,0.032571033,0.032706318,-0.002969037,8.81518E-06,5.40817E-05,
